variant_name,source_run,family,is_oracle,num_cases,accuracy,top3_accuracy,top5_accuracy,macro_f1,mean_requests,median_requests,changed_predictions,correct_count,regressions_vs_notebook13,improvements_vs_notebook13
graph_adjudicator_notebook13_rank5_tc2.0_cms2.0_delta2.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms0.5_delta0.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms0.5_delta1.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms0.5_delta1.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms0.5_delta2.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms1.0_delta0.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms1.0_delta1.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms1.0_delta1.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms1.0_delta2.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms2.0_delta0.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms2.0_delta1.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms2.0_delta1.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc3.0_cms2.0_delta2.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms0.5_delta0.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms0.5_delta1.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms0.5_delta1.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms0.5_delta2.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms1.0_delta0.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms1.0_delta1.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms1.0_delta1.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms1.0_delta2.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms2.0_delta0.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms2.0_delta1.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms2.0_delta1.5,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
graph_adjudicator_notebook13_rank5_tc4.0_cms2.0_delta2.0,notebook13,graph_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms0.5_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms0.5_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms0.5_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms0.5_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms1.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms1.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms1.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms1.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms2.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms2.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms2.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc1.0_cms2.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms0.5_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms0.5_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms0.5_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms0.5_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms1.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms1.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms1.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms1.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms2.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms2.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms2.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc2.0_cms2.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms0.5_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms0.5_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms0.5_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms0.5_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms1.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms1.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms1.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms1.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms2.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms2.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms2.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc3.0_cms2.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms0.5_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms0.5_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms0.5_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms0.5_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms1.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms1.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms1.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms1.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms2.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms2.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms2.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank2_tc4.0_cms2.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms0.5_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms0.5_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms0.5_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms0.5_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms1.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms1.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms1.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms1.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms2.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms2.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms2.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc1.0_cms2.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms0.5_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms0.5_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms0.5_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms0.5_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms1.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms1.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms1.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms1.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms2.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms2.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms2.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc2.0_cms2.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms0.5_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms0.5_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms0.5_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms0.5_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms1.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms1.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms1.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms1.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms2.0_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms2.0_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms2.0_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc3.0_cms2.0_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc4.0_cms0.5_delta0.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc4.0_cms0.5_delta1.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc4.0_cms0.5_delta1.5,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
mlp_llm_consensus_adjudicator_notebook13_rank3_tc4.0_cms0.5_delta2.0,notebook13,mlp_llm_consensus_adjudicator,False,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8666666666666666,6.583333333333333,4.5,0,22,0,0
